,time,open,high,low,close
913,2018-11-17,170.52,174.41,169.32,172.29
914,2018-11-18,172.29,180.21,172.03,173.97
915,2018-11-19,173.96,175.92,142.0,145.94
916,2018-11-20,145.94,149.5,121.5,125.15
917,2018-11-21,125.15,138.48,122.05,133.11
918,2018-11-22,133.09,136.71,127.0,128.21
919,2018-11-23,128.22,128.26,116.24,122.34
920,2018-11-24,122.36,125.89,106.15,108.24
921,2018-11-25,108.19,118.83,98.2,113.91
922,2018-11-26,113.9,116.88,102.26,103.98
923,2018-11-27,103.98,111.6,99.26,110.41
924,2018-11-28,110.41,126.46,107.91,120.21
925,2018-11-29,120.22,123.05,113.0,116.03
926,2018-11-30,116.04,119.0,109.24,110.88
927,2018-12-01,110.87,119.77,110.0,117.79
928,2018-12-02,117.79,119.45,114.11,115.4
929,2018-12-03,115.4,115.51,104.74,107.51
930,2018-12-04,107.51,112.0,104.78,108.62
931,2018-12-05,108.62,109.37,99.5,101.86
932,2018-12-06,101.81,102.85,92.0,92.44
933,2018-12-07,92.43,97.16,81.02,93.27
934,2018-12-08,93.28,97.52,84.0,91.45
935,2018-12-09,91.46,98.3,88.15,92.35
936,2018-12-10,92.35,94.62,87.3,89.44
937,2018-12-11,89.45,91.21,85.15,87.42
938,2018-12-12,87.42,91.0,86.06,88.65
939,2018-12-13,88.65,90.25,83.48,84.74
940,2018-12-14,84.73,85.98,80.6,83.44
941,2018-12-15,83.35,84.29,80.89,83.21
942,2018-12-16,83.2,86.82,82.68,83.99
943,2018-12-17,83.99,96.74,83.43,93.29
944,2018-12-18,93.29,96.0,91.55,95.4
945,2018-12-19,95.4,107.88,95.3,100.2
946,2018-12-20,100.21,119.0,98.5,113.66
947,2018-12-21,113.66,120.0,105.3,107.6
